"Dist Code","Year","State Code","State Name","Dist Name","WHEAT YIELD (Kg per ha)"
"7","1970","6","Madhya Pradesh","Jabalpur","667.78"
"7","1971","6","Madhya Pradesh","Jabalpur","627.51"
"7","1972","6","Madhya Pradesh","Jabalpur","586.03"
"7","1973","6","Madhya Pradesh","Jabalpur","761.28"
"7","1974","6","Madhya Pradesh","Jabalpur","528.13"
"7","1975","6","Madhya Pradesh","Jabalpur","783.29"
"7","1976","6","Madhya Pradesh","Jabalpur","437.46"
"7","1977","6","Madhya Pradesh","Jabalpur","577.98"
"7","1978","6","Madhya Pradesh","Jabalpur","687.5"
"7","1979","6","Madhya Pradesh","Jabalpur","370.13"
"7","1980","6","Madhya Pradesh","Jabalpur","783.43"
"7","1981","6","Madhya Pradesh","Jabalpur","513.0"
"7","1982","6","Madhya Pradesh","Jabalpur","713.98"
"7","1983","6","Madhya Pradesh","Jabalpur","1098.06"
"7","1984","6","Madhya Pradesh","Jabalpur","784.33"
"7","1985","6","Madhya Pradesh","Jabalpur","704.47"
"7","1986","6","Madhya Pradesh","Jabalpur","661.16"
"7","1987","6","Madhya Pradesh","Jabalpur","935.9"
"7","1988","6","Madhya Pradesh","Jabalpur","1043.28"
"7","1989","6","Madhya Pradesh","Jabalpur","893.25"
"7","1990","6","Madhya Pradesh","Jabalpur","1009.62"
"7","1991","6","Madhya Pradesh","Jabalpur","933.8"
"7","1992","6","Madhya Pradesh","Jabalpur","1209.06"
"7","1993","6","Madhya Pradesh","Jabalpur","1173.99"
"7","1994","6","Madhya Pradesh","Jabalpur","1301.33"
"7","1995","6","Madhya Pradesh","Jabalpur","1219.02"
"7","1996","6","Madhya Pradesh","Jabalpur","1154.65"
"7","1997","6","Madhya Pradesh","Jabalpur","910.12"
"7","1998","6","Madhya Pradesh","Jabalpur","732.53"
"7","1999","6","Madhya Pradesh","Jabalpur","1344.3"
"7","2000","6","Madhya Pradesh","Jabalpur","1269.6"
"7","2001","6","Madhya Pradesh","Jabalpur","1385.92"
"7","2002","6","Madhya Pradesh","Jabalpur","1141.71"
"7","2003","6","Madhya Pradesh","Jabalpur","1534.35"
"7","2004","6","Madhya Pradesh","Jabalpur","1480.92"
"7","2005","6","Madhya Pradesh","Jabalpur","1633.09"
"7","2006","6","Madhya Pradesh","Jabalpur","1570.78"
"7","2007","6","Madhya Pradesh","Jabalpur","1274.54"
"7","2008","6","Madhya Pradesh","Jabalpur","1558.66"
"7","2009","6","Madhya Pradesh","Jabalpur","1416.05"
"7","2010","6","Madhya Pradesh","Jabalpur","2086.66"
"7","2011","6","Madhya Pradesh","Jabalpur","2298.8"
"7","2012","6","Madhya Pradesh","Jabalpur","2779.79"
"7","2013","6","Madhya Pradesh","Jabalpur","2500.64"
"7","2014","6","Madhya Pradesh","Jabalpur","2634.36"
"7","2015","6","Madhya Pradesh","Jabalpur","3084.16"
