Country,Dist Code,State,District,Year,Yield,Yield_Lag1,Avg_Season_Tmax,Total_Season_Rain,Sowing_Rainfall,Terminal_Heat_Tmax,Temperature_Anomaly,Rainfall_Deviation
USA,06095,CA,SOLANO,2000,5991.974999999999,5198.425,28.015,12.990000000000002,0.0,39.96,-0.30202500000000043,-1.5462499999999988
USA,06095,CA,SOLANO,2000,1956.9750000000001,5991.974999999999,28.015,12.990000000000002,0.0,39.96,-0.30202500000000043,-1.5462499999999988
USA,06095,CA,SOLANO,2001,4875.625,1956.9750000000001,29.611,11.17,2.11,39.739999999999995,1.2939749999999997,-3.366250000000001
USA,06095,CA,SOLANO,2001,5649.0,4875.625,29.611,11.17,2.11,39.739999999999995,1.2939749999999997,-3.366250000000001
USA,06095,CA,SOLANO,2001,1008.75,5649.0,29.611,11.17,2.11,39.739999999999995,1.2939749999999997,-3.366250000000001
USA,06095,CA,SOLANO,2002,4310.724999999999,1008.75,28.936,12.259999999999998,0.42000000000000004,36.25,0.6189749999999989,-2.2762500000000028
USA,06095,CA,SOLANO,2002,5924.724999999999,4310.724999999999,28.936,12.259999999999998,0.42000000000000004,36.25,0.6189749999999989,-2.2762500000000028
USA,06095,CA,SOLANO,2002,3194.375,5924.724999999999,28.936,12.259999999999998,0.42000000000000004,36.25,0.6189749999999989,-2.2762500000000028
USA,06095,CA,SOLANO,2003,3819.7999999999997,3194.375,28.328000000000003,13.78,0.02,38.175,0.010975000000001955,-0.7562500000000014
USA,06095,CA,SOLANO,2003,4001.375,3819.7999999999997,28.328000000000003,13.78,0.02,38.175,0.010975000000001955,-0.7562500000000014
USA,06095,CA,SOLANO,2003,2622.75,4001.375,28.328000000000003,13.78,0.02,38.175,0.010975000000001955,-0.7562500000000014
USA,06095,CA,SOLANO,2004,5716.25,2622.75,28.732999999999997,10.889999999999999,0.05,37.065,0.415974999999996,-3.646250000000002
USA,06095,CA,SOLANO,2004,5823.849999999999,5716.25,28.732999999999997,10.889999999999999,0.05,37.065,0.415974999999996,-3.646250000000002
USA,06095,CA,SOLANO,2004,5366.55,5823.849999999999,28.732999999999997,10.889999999999999,0.05,37.065,0.415974999999996,-3.646250000000002
USA,06095,CA,SOLANO,2005,4700.775000000001,5366.55,27.090999999999998,16.630000000000003,2.18,34.004999999999995,-1.2260250000000035,2.0937500000000018
USA,06095,CA,SOLANO,2005,5245.5,4700.775000000001,27.090999999999998,16.630000000000003,2.18,34.004999999999995,-1.2260250000000035,2.0937500000000018
USA,06095,CA,SOLANO,2005,4035.0,5245.5,27.090999999999998,16.630000000000003,2.18,34.004999999999995,-1.2260250000000035,2.0937500000000018
USA,06095,CA,SOLANO,2006,3429.75,4035.0,26.536,17.080000000000002,0.43999999999999995,34.88,-1.7810249999999996,2.543750000000001
USA,06095,CA,SOLANO,2006,4135.875,3429.75,26.536,17.080000000000002,0.43999999999999995,34.88,-1.7810249999999996,2.543750000000001
USA,06095,CA,SOLANO,2006,2642.9249999999997,4135.875,26.536,17.080000000000002,0.43999999999999995,34.88,-1.7810249999999996,2.543750000000001
USA,06095,CA,SOLANO,2007,4418.325,2642.9249999999997,29.119,8.829999999999998,0.21,36.58,0.8019749999999988,-5.7062500000000025
USA,06095,CA,SOLANO,2007,5043.75,4418.325,29.119,8.829999999999998,0.21,36.58,0.8019749999999988,-5.7062500000000025
USA,06095,CA,SOLANO,2007,3900.5,5043.75,29.119,8.829999999999998,0.21,36.58,0.8019749999999988,-5.7062500000000025
USA,06095,CA,SOLANO,2008,5077.375,3900.5,28.267000000000003,10.76,1.03,39.81,-0.05002499999999799,-3.776250000000001
USA,06095,CA,SOLANO,2008,5817.125,5077.375,28.267000000000003,10.76,1.03,39.81,-0.05002499999999799,-3.776250000000001
USA,06095,CA,SOLANO,2008,4169.5,5817.125,28.267000000000003,10.76,1.03,39.81,-0.05002499999999799,-3.776250000000001
USA,06095,CA,SOLANO,2009,4573.0,4169.5,29.988999999999997,11.54,0.43,40.095,1.6719749999999962,-2.9962500000000016
USA,06095,CA,SOLANO,2010,4694.05,4573.0,26.895999999999997,16.05,2.4699999999999998,34.13,-1.4210250000000038,1.51375
USA,06095,CA,SOLANO,2011,6012.150000000001,4694.05,27.979000000000003,18.250000000000004,1.25,34.12,-0.33802499999999824,3.7137500000000028
USA,06095,CA,SOLANO,2012,4694.05,6012.150000000001,29.488999999999997,9.72,0.98,38.55,1.1719749999999962,-4.81625
USA,06095,CA,SOLANO,2013,4566.275000000001,4694.05,29.598000000000003,10.5,0.5700000000000001,38.275,1.2809750000000015,-4.036250000000001
USA,06095,CA,SOLANO,2014,4035.0,4566.275000000001,30.107000000000006,8.49,0.38,38.545,1.7899750000000054,-6.046250000000001
USA,06095,CA,SOLANO,2015,5595.2,4035.0,29.327999999999996,12.490000000000002,0.76,35.295,1.0109749999999948,-2.046249999999999
USA,06095,CA,SOLANO,2016,4828.55,5595.2,28.076,21.35,0.26,35.625,-0.2410250000000005,6.813750000000001
USA,06095,CA,SOLANO,2017,4035.0,4828.55,26.863,38.99,3.92,34.455,-1.4540250000000015,24.45375
USA,06095,CA,SOLANO,2018,4862.175,4035.0,28.436999999999994,16.54,0.33,36.195,0.11997499999999306,2.0037499999999984
USA,06095,CA,SOLANO,2019,3127.125,4862.175,26.574,30.660000000000004,0.35000000000000003,31.380000000000003,-1.7430249999999994,16.12375
USA,06095,CA,SOLANO,2020,3732.375,3127.125,28.885,12.319999999999999,0.08,37.644999999999996,0.5679750000000006,-2.2162500000000023
USA,06095,CA,SOLANO,2023,4761.3,3732.375,26.552000000000003,31.380000000000003,0.5,32.205,-1.7650249999999978,16.84375
USA,06101,CA,SUTTER,2000,5346.375,4989.95,27.505,21.89,0.0,39.15,-1.3403750000000016,-0.08474999999999966
USA,06101,CA,SUTTER,2000,2737.0750000000003,5346.375,27.505,21.89,0.0,39.15,-1.3403750000000016,-0.08474999999999966
USA,06101,CA,SUTTER,2001,4707.5,2737.0750000000003,30.269,18.35,3.27,42.370000000000005,1.4236249999999977,-3.624749999999999
USA,06101,CA,SUTTER,2001,5306.025000000001,4707.5,30.269,18.35,3.27,42.370000000000005,1.4236249999999977,-3.624749999999999
USA,06101,CA,SUTTER,2001,894.4250000000001,5306.025000000001,30.269,18.35,3.27,42.370000000000005,1.4236249999999977,-3.624749999999999
USA,06101,CA,SUTTER,2002,4741.125,894.4250000000001,29.164000000000005,22.159999999999997,1.09,38.230000000000004,0.3186250000000044,0.18524999999999636
USA,06101,CA,SUTTER,2002,5998.7,4741.125,29.164000000000005,22.159999999999997,1.09,38.230000000000004,0.3186250000000044,0.18524999999999636
USA,06101,CA,SUTTER,2002,3066.6,5998.7,29.164000000000005,22.159999999999997,1.09,38.230000000000004,0.3186250000000044,0.18524999999999636
USA,06101,CA,SUTTER,2003,4048.4500000000003,3066.6,28.314999999999998,25.680000000000003,0.0,37.675,-0.5303750000000029,3.705250000000003
USA,06101,CA,SUTTER,2003,4391.425,4048.4500000000003,28.314999999999998,25.680000000000003,0.0,37.675,-0.5303750000000029,3.705250000000003
USA,06101,CA,SUTTER,2003,1311.375,4391.425,28.314999999999998,25.680000000000003,0.0,37.675,-0.5303750000000029,3.705250000000003
USA,06101,CA,SUTTER,2004,4451.95,1311.375,28.807,20.86,0.14,37.870000000000005,-0.038375000000002046,-1.1147500000000008
USA,06101,CA,SUTTER,2004,4451.95,4451.95,28.807,20.86,0.14,37.870000000000005,-0.038375000000002046,-1.1147500000000008
USA,06101,CA,SUTTER,2004,0.0,4451.95,28.807,20.86,0.14,37.870000000000005,-0.038375000000002046,-1.1147500000000008
USA,06101,CA,SUTTER,2005,4626.8,0.0,27.905,27.719999999999995,3.46,35.165,-0.9403749999999995,5.745249999999995
USA,06101,CA,SUTTER,2005,4788.2,4626.8,27.905,27.719999999999995,3.46,35.165,-0.9403749999999995,5.745249999999995
USA,06101,CA,SUTTER,2005,3362.5,4788.2,27.905,27.719999999999995,3.46,35.165,-0.9403749999999995,5.745249999999995
USA,06101,CA,SUTTER,2006,3322.15,3362.5,27.168,33.019999999999996,0.7,36.805,-1.6773750000000014,11.045249999999996
USA,06101,CA,SUTTER,2006,3322.15,3322.15,27.168,33.019999999999996,0.7,36.805,-1.6773750000000014,11.045249999999996
USA,06101,CA,SUTTER,2006,0.0,3322.15,27.168,33.019999999999996,0.7,36.805,-1.6773750000000014,11.045249999999996
USA,06101,CA,SUTTER,2007,5581.75,0.0,29.118000000000002,15.399999999999999,0.14,37.595,0.27262500000000145,-6.574750000000002
